datanumber,rallyid,server,returner,winner,reason,serve,strokes,totaltime,x,y,score,set
1,131,Nadal,Djokovic,Djokovic,winner,first,12,14.48,1,7.21,"6:3 6:2 0:0, 15:15",3
1,132,Nadal,Djokovic,Nadal,net,first,2,0.68,1.58,12.3,"6:3 6:2 0:0, 15:30",3
1,134,Nadal,Djokovic,Djokovic,net,second,11,8.24,5.28,12.3,"6:3 6:2 0:0, 30:30",3
1,135,Nadal,Djokovic,Nadal,winner,first,7,7.2,1.63,17.26,"6:3 6:2 0:0, 30:40",3
1,136,Nadal,Djokovic,Nadal,net,first,2,0.76,6.32,12.93,"6:3 6:2 0:1, 0:0",3
1,139,Djokovic,Nadal,Djokovic,net,second,4,0.84,7.98,12.51,"6:3 6:2 0:1, 15:0",3
1,141,Djokovic,Nadal,Djokovic,out,second,4,0.8,0.82,6.64,"6:3 6:2 0:1, 30:0",3
1,143,Djokovic,Nadal,Djokovic,out,second,2,0.88,6.28,-0.91,"6:3 6:2 0:1, 40:0",3
1,146,Djokovic,Nadal,Djokovic,out,second,2,0.92,6.98,-2.1,"6:3 6:2 1:1, 0:0",3
1,147,Nadal,Djokovic,Nadal,out,first,2,0.76,4.42,24.45,"6:3 6:2 1:1, 0:15",3
1,149,Nadal,Djokovic,Djokovic,winner,second,2,0.92,8.67,11.43,"6:3 6:2 1:1, 15:15",3
1,151,Nadal,Djokovic,Djokovic,double_fault,second,1,0,4.63,6.29,"6:3 6:2 1:1, 30:15",3
1,152,Nadal,Djokovic,Djokovic,out,first,11,12.8,8.73,-0.71,"6:3 6:2 1:1, 40:15",3
1,154,Nadal,Djokovic,Nadal,net,second,16,11.36,4.74,11.7,"6:3 6:2 1:1, 40:30",3
1,155,Nadal,Djokovic,Djokovic,net,first,11,14.16,4.88,13.86,"6:3 6:2 2:1, 0:0",3
1,156,Djokovic,Nadal,Nadal,winner,first,8,8.96,8.21,20.84,"6:3 6:2 2:1, 0:15",3
1,157,Djokovic,Nadal,Djokovic,winner,first,3,2.52,2.77,5.36,"6:3 6:2 2:1, 15:15",3
1,158,Djokovic,Nadal,Djokovic,out,first,2,0.92,2.96,23.55,"6:3 6:2 2:1, 30:15",3
1,160,Djokovic,Nadal,Djokovic,winner,second,3,1.04,6.64,6.79,"6:3 6:2 2:1, 40:15",3
1,161,Djokovic,Nadal,Djokovic,winner,first,11,0.68,1.08,4.57,"6:3 6:2 3:1, 0:0",3
1,162,Nadal,Djokovic,Nadal,winner,first,3,2.56,1.55,21.96,"6:3 6:2 3:1, 0:15",3
1,163,Nadal,Djokovic,Nadal,ace,first,1,0,11.29,25.49,"6:3 6:2 3:1, 0:30",3
1,164,Nadal,Djokovic,Nadal,out,first,2,0.72,8.58,-1.95,"6:3 6:2 3:1, 0:40",3
1,165,Nadal,Djokovic,Djokovic,out,first,3,1.56,6.09,25.26,"6:3 6:2 3:1, 15:40",3
1,168,Nadal,Djokovic,Nadal,winner,second,5,4.4,1.83,16.18,"6:3 6:2 3:2, 0:0",3
1,169,Djokovic,Nadal,Djokovic,net,first,16,9.6,7.93,13,"6:3 6:2 3:2, 15:0",3
1,170,Djokovic,Nadal,Nadal,out,first,7,8.52,0.72,24.11,"6:3 6:2 3:2, 15:15",3
1,171,Djokovic,Nadal,Djokovic,net,first,4,3.72,8.27,11.9,"6:3 6:2 3:2, 30:15",3
1,173,Djokovic,Nadal,Nadal,out,first,11,12.48,9.33,18.94,"6:3 6:2 3:2, 30:30",3
1,174,Djokovic,Nadal,Nadal,net,first,3,2.24,7.67,12.03,"6:3 6:2 3:2, 30:40",3
1,175,Djokovic,Nadal,Djokovic,net,first,9,6.8,5.86,11.83,"6:3 6:2 3:2, 40:40",3
1,177,Djokovic,Nadal,Djokovic,net,first,2,0.88,5.22,14.15,"6:3 6:2 3:2, Ad:40",3
1,178,Djokovic,Nadal,Djokovic,winner,first,3,2.4,1.89,19.59,"6:3 6:2 4:2, 0:0",3
1,179,Nadal,Djokovic,Djokovic,winner,first,4,3.48,8.18,19.78,"6:3 6:2 4:2, 15:0",3
1,180,Nadal,Djokovic,Nadal,ace,first,1,0,4.62,6.79,"6:3 6:2 4:2, 15:15",3
1,182,Nadal,Djokovic,Nadal,out,second,2,0.76,6.16,26.09,"6:3 6:2 4:2, 15:30",3
1,183,Nadal,Djokovic,Nadal,out,first,2,0.76,7.68,26.69,"6:3 6:2 4:2, 15:40",3
1,186,Nadal,Djokovic,Nadal,net,second,2,0.8,6.39,13,"6:3 6:2 4:3, 0:0",3
1,188,Djokovic,Nadal,Nadal,out,second,3,1.08,1.23,5.55,"6:3 6:2 4:3, 0:15",3
1,189,Djokovic,Nadal,Djokovic,winner,first,7,7.44,6.57,5.75,"6:3 6:2 4:3, 15:15",3
1,190,Djokovic,Nadal,Djokovic,out,first,2,0.8,-1.48,22.8,"6:3 6:2 4:3, 30:15",3
1,191,Djokovic,Nadal,Nadal,out,first,7,3.32,10.23,3.78,"6:3 6:2 4:3, 30:30",3
1,193,Djokovic,Nadal,Djokovic,net,first,4,0.76,6.48,13.42,"6:3 6:2 4:3, 40:30",3
1,194,Djokovic,Nadal,Nadal,out,first,17,14.08,9.36,0.78,"6:3 6:2 4:3, 40:40",3
1,195,Djokovic,Nadal,Djokovic,out,first,2,0.88,-2.11,21.55,"6:3 6:2 4:3, Ad:40",3
1,196,Djokovic,Nadal,Djokovic,winner,first,7,7.96,6.58,12.03,"6:3 6:2 5:3, 0:0",3
1,198,Nadal,Djokovic,Nadal,out,first,2,0.68,5.53,-0.02,"6:3 6:2 5:3, 0:15",3
1,199,Nadal,Djokovic,Djokovic,winner,first,6,6.6,2.44,4.71,"6:3 6:2 5:3, 15:15",3
1,201,Nadal,Djokovic,Djokovic,net,first,9,9,4.26,11.57,"6:3 6:2 5:3, 30:15",3
1,202,Nadal,Djokovic,Djokovic,winner,first,4,3.08,1.88,3.36,"6:3 6:2 5:3, 40:15",3
1,204,Nadal,Djokovic,Nadal,out,first,12,0.84,8.45,-0.56,"6:3 6:2 5:3, 40:30",3
1,206,Nadal,Djokovic,Djokovic,out,second,5,4.6,0.59,23.86,"6:3 6:2 6:3, 0:0",3
